tweet_id,author_id,created_at,text,clean_text
1911177515097530698,1288180873,2025-04-12 22:00:02+00:00,"The “bad girl” approach to teenage pregnancy causes shame, depression, and avoidance of healthcare. Researcher Zoe Duby says community-driven solutions need to support girls rather than shame them. #MentalHealth #TeenPregnancy https://t.co/O9OgBSNhUV",the bad girl approach to teenage pregnancy causes shame depression and avoidance of healthcare researcher zoe duby says communitydriven solutions need to support girls rather than shame them mentalhealth teenpregnancy
1911177421274890591,1171659473880059905,2025-04-12 21:59:39+00:00,"RT @nickystevo: You may not be able to change your situation but you can change your mindset &amp; this changes everything! 😊

#positive #menta…",rt you may not be able to change your situation but you can change your mindset amp this changes everything positive menta
1911177389851509075,1635583724837322752,2025-04-12 21:59:32+00:00,@GordonBrown #Newworldorder #agenda2030 #edinburgh #aberdeen #glasgow #inverness #ayr #dundee #kilmarnock #fife #falkirk #lossiemouth #royalairforce #scotland #wiltshirepolice #mentalhealth #devizes #salisbury #swindon #southswindon #swindonnorth #gloucester #crewe https://t.co/Ax1fZlV6NZ,newworldorder agenda edinburgh aberdeen glasgow inverness ayr dundee kilmarnock fife falkirk lossiemouth royalairforce scotland wiltshirepolice mentalhealth devizes salisbury swindon southswindon swindonnorth gloucester crewe
1911177379612864985,1171659473880059905,2025-04-12 21:59:29+00:00,"RT @nickystevo: With determination greater than your fear, you not only learn to soar but you also learn to inspire 😊
#positive #mentalheal…",rt with determination greater than your fear you not only learn to soar but you also learn to inspire positive mentalheal
1911177366023401944,1171659473880059905,2025-04-12 21:59:26+00:00,"RT @KariJoys: Show that you care!

#JoyTrain #Joy #Love #Mindset #Quote #MentalHealth #Mindfulness #Blessed #SaturdayMorning #SaturdayMotiv…",rt show that you care joytrain joy love mindset quote mentalhealth mindfulness blessed saturdaymorning saturdaymotiv
1911177324046778515,1171659473880059905,2025-04-12 21:59:16+00:00,"RT @nickystevo: That’s all I want in life, for this pain to seem purposeful 😊

#positive #mentalhealth #mindset #joytrain #successtrain #qu…",rt thats all i want in life for this pain to seem purposeful positive mentalhealth mindset joytrain successtrain qu
1911177300105658643,1171659473880059905,2025-04-12 21:59:10+00:00,"RT @KariJoys: #Love grows when #Kindness is planted.. 

#JoyTrain #Joy #Love #Kindness #Mindset #MentalHealth #Mindfulness #IAM #Quote #Quo…",rt love grows when kindness is planted joytrain joy love kindness mindset mentalhealth mindfulness iam quote quo
1911177287459807341,1171659473880059905,2025-04-12 21:59:07+00:00,"RT @KariJoys: Always #BeKind! 

#JoyTrain #Joy #MentalHealth #Mindfulness #Quote #spdc #Blessed  #Mindset #SaturdayMorning #SaturdayMotivat…",rt always bekind joytrain joy mentalhealth mindfulness quote spdc blessed mindset saturdaymorning saturdaymotivat
1911177272767521116,1171659473880059905,2025-04-12 21:59:04+00:00,RT @nickystevo: Those that criticise your life are often the same people that have no idea of the price you paid to get where you are ! 😊…,rt those that criticise your life are often the same people that have no idea of the price you paid to get where you are
1911177246489932126,1171659473880059905,2025-04-12 21:58:58+00:00,"RT @KariJoys: Just a little bit of #Love &amp; #Kindness.. 

#JoyTrain #Joy #Love #Blessed #MentalHealth #Mindfulness #IAM #Mindset #Quote #Quo…",rt just a little bit of love amp kindness joytrain joy love blessed mentalhealth mindfulness iam mindset quote quo
1911177081234330076,3853053749,2025-04-12 21:58:18+00:00,"Just $413 away from my $1,000 goal for The Distinguished Gentleman’s Ride!

I’m riding for men’s mental health, for friends I’ve lost, &amp; those still struggling.

Help me hit the target or share the link! 

👉 https://t.co/RsOwMcb0K6

#DGR2025 #MentalHealth",just away from my goal for the distinguished gentlemans ride im riding for mens mental health for friends ive lost amp those still struggling help me hit the target or share the link dgr mentalhealth
